Format Version,1.23,Take Name,ProvaRigidBody,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-27 03.38.09.939 PM,Capture Start Frame,684677,Total Frames in Take,3452,Total Exported Frames,3452,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,Ragnetto,"Ragnetto:Marker1","Ragnetto:Marker1","Ragnetto:Marker1","Ragnetto:Marker1","Ragnetto:Marker2","Ragnetto:Marker2","Ragnetto:Marker2","Ragnetto:Marker2","Ragnetto:Marker3","Ragnetto:Marker3","Ragnetto:Marker3","Ragnetto:Marker3","Ragnetto:Marker4","Ragnetto:Marker4","Ragnetto:Marker4","Ragnetto:Marker4",Ragnetto:Marker1,Ragnetto:Marker1,Ragnetto:Marker1,Ragnetto:Marker2,Ragnetto:Marker2,Ragnetto:Marker2,Ragnetto:Marker3,Ragnetto:Marker3,Ragnetto:Marker3,Ragnetto:Marker4,Ragnetto:Marker4,Ragnetto:Marker4
,ID,"54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","54A2169DEC4611EE5F75BB645DD45CA7","C6800","C6800","C6800","A15FD681EC4711EE5F75BB645DD45CA7","A15FD681EC4711EE5F75BB645DD45CA7","A15FD681EC4711EE5F75BB645DD45CA7","C65B0","C65B0","C65B0","C68C0","C68C0","C68C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.149361,-0.568893,-0.043389,0.807571,-0.087448,0.994073,-0.794972,0.001122,0.042925,0.990646,-0.741454,0.776980,-0.071090,0.968103,-0.709216,0.000000,0.035839,1.009977,-0.806349,0.954169,-0.087358,0.994083,-0.794975,0.776560,0.042164,0.990712,-0.741915,,,,0.035762,1.009921,-0.806193,-0.086516,0.994076,-0.794676
1,0.002778,0.143539,-0.567756,-0.043152,0.809437,-0.087959,0.994178,-0.794836,0.001235,0.042627,0.990541,-0.741855,0.776980,-0.071371,0.968983,-0.708893,0.000000,0.035365,1.009255,-0.806911,0.954169,-0.087869,0.994187,-0.794839,0.776560,0.041958,0.990597,-0.742252,,,,0.035116,1.009187,-0.806763,-0.086832,0.994200,-0.794559
2,0.005556,0.137857,-0.566945,-0.044355,0.810927,-0.088511,0.994750,-0.794814,0.001400,0.042246,0.990495,-0.742302,0.804843,-0.071793,0.970126,-0.708730,0.000000,0.034882,1.008734,-0.807482,0.925692,-0.088422,0.994759,-0.794817,0.731235,0.041792,0.990530,-0.742555,,,,0.034296,1.008643,-0.807336,-0.087046,0.994833,-0.794675
3,0.008333,0.134579,-0.565902,-0.044334,0.812206,-0.088859,0.994834,-0.794698,0.001440,0.042063,0.990442,-0.742610,0.868999,-0.071926,0.970637,-0.708535,0.000000,0.034535,1.008340,-0.807866,0.845524,-0.088769,0.994842,-0.794702,0.640481,0.041606,0.990478,-0.742864,,,,0.033943,1.008251,-0.807715,-0.087340,0.994916,-0.794562
4,0.011111,0.131117,-0.565062,-0.044123,0.813368,-0.089295,0.994937,-0.794686,0.001601,0.041765,0.990436,-0.742955,0.847842,-0.072188,0.971211,-0.708427,0.000000,0.034103,1.007961,-0.808297,0.851313,-0.089205,0.994945,-0.794690,0.601634,0.041255,0.990489,-0.743284,,,,0.033553,1.007863,-0.808092,-0.087624,0.995012,-0.794506
5,0.013889,0.127337,-0.563432,-0.044027,0.815102,-0.089715,0.995028,-0.794467,0.001524,0.041582,0.990402,-0.743351,0.853141,-0.072266,0.971808,-0.708139,0.000000,0.033659,1.007525,-0.808768,0.864896,-0.089626,0.995036,-0.794471,0.602225,0.041050,0.990432,-0.743599,,,,0.033134,1.007459,-0.808660,-0.088049,0.995090,-0.794262
